denomination;year;domaines
Les rayonnements radioactifs;1899;Physique nucléiare, Modèle standard
La désintégration radioactive;1902;Physique nucléaire, Modèle standard
L'effet photoélectrique;1921;Physique, Physique nucléaire
Le radium;1898;Chimie, Physique nucléaire, Physique
Le modèle atomique;1960;Physique nucléaire, Modèle standard
Le neutron;1932;Physique nucléaire, Modèle standard
L'électron;1897;Physique nucléaire, chimie, Modèle standard
Le principe de complémentarité;1927;Physique quantique, Modèle standard
L'énergie de masse;1905;Physique nucléaire, Mécanique céleste, Modèle standard
