nom;year_birth;year_death;prix
Ernest Rutherford;1871;1937;Nobel de Chimie, Médaille Copley
Joseph John Thomson;1856;1940;Nobel de Physique
James Chadwick;1891;1932;Nobel de Physique
Niels Bohr;1885;1962;Nobel de Physique, Médaille Copley
Albert Einstein;1879;1955;Nobel de Physique
Marie Curie;1867;1934;Nobels de Physique et de Chimie
John Dalton;1766;1844;Aucun
Henri Becquerel;1852;1908;Nobel de Physique
